"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13445936","JH245452","2024-04-30T23:12:00.000","001XX N LAMON AVE","0496","BATTERY","AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT","APARTMENT","false","true","1532","015","28","25","04B","1143702","1900212","2024","2024-05-08T15:41:27.000","41.882212065","-87.747788623","
,  
(41.882212065, -87.747788623)"
"13445954","JH245440","2024-04-30T23:03:00.000","009XX W ADDISON ST","0554","ASSAULT","AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY","CTA TRAIN","false","false","1923","019","44","6","08A","1169188","1924102","2024","2024-05-08T15:41:27.000","41.947252263","-87.65350869","
,  
(41.947252263, -87.65350869)"
"13445837","JH245415","2024-04-30T23:00:00.000","088XX S WINCHESTER AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2221","022","19","71","14","1165474","1846132","2024","2024-05-08T15:41:27.000","41.733374837","-87.6693758","
,  
(41.733374837, -87.6693758)"
"13445939","JH245470","2024-04-30T23:00:00.000","079XX S HONORE ST","0496","BATTERY","AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT","APARTMENT","false","true","0611","006","17","71","04B","1165401","1851976","2024","2024-05-08T15:41:27.000","41.749413181","-87.669478077","
,  
(41.749413181, -87.669478077)"
"13445845","JH245429","2024-04-30T23:00:00.000","002XX E 108TH ST","0560","ASSAULT","SIMPLE","APARTMENT","false","false","0513","005","9","49","08A","1179938","1833410","2024","2024-05-08T15:41:27.000","41.698145615","-87.616775204","
,  
(41.698145615, -87.616775204)"
"13445857","JH245462","2024-04-30T23:00:00.000","039XX S LAKE SHORE DR SB","0810","THEFT","OVER $500","PARK PROPERTY","false","false","0212","002","4","36","06","1183917","1879961","2024","2024-05-08T15:41:27.000","41.825794363","-87.60075472","
,  
(41.825794363, -87.60075472)"
"13446269","JH246044","2024-04-30T23:00:00.000","005XX W PERSHING RD","0610","BURGLARY","FORCIBLE ENTRY","RESTAURANT","false","false","0915","009","11","60","05","1173168","1879048","2024","2024-05-08T15:41:27.000","41.823533751","-87.640216982","
,  
(41.823533751, -87.640216982)"
"13446504","JH246410","2024-04-30T23:00:00.000","062XX N KENMORE AVE","0810","THEFT","OVER $500","STREET","false","false","2433","024","48","77","06","1168104","1941693","2024","2024-05-08T15:41:27.000","41.995546029","-87.65698269","
,  
(41.995546029, -87.65698269)"
"13445855","JH245395","2024-04-30T23:00:00.000","119XX S MICHIGAN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","true","false","0532","005","9","53","14","1178985","1825871","2024","2024-05-08T15:41:27.000","41.67747921","-87.620492997","
,  
(41.67747921, -87.620492997)"
"13446141","JH245862","2024-04-30T23:00:00.000","042XX S CALUMET AVE","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0213","002","3","38","11","1179140","1876926","2024","2024-05-08T15:41:27.000","41.817576519","-87.618372864","
,  
(41.817576519, -87.618372864)"
